314	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:181	 6:7	 7:4	 11:43	 9:1	 10:3	 12:2	 13:1	 16:129	 14:6	 15:-4	 19:26	 17:1	 18:2	 20:2	 21:1	
32	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:215	 6:18	 7:11	 11:59	 9:4	 10:2	 12:1	 13:2	 16:41	 14:9	 15:0	 19:119	 17:6	 18:1	 20:5	 21:3	
15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:19	 6:20	 7:12	 11:126	 9:7	 10:1	 12:5	 13:3	 16:175	 14:21	 15:5	 19:231	 17:6	 18:1	 20:4	 21:5	
26	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:85	 6:17	 7:10	 11:62	 9:4	 10:1	 12:1	 13:2	 16:108	 14:17	 15:6	 19:292	 17:6	 18:1	 20:4	 21:5	
25	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:75	 6:13	 7:3	 11:122	 9:9	 10:1	 12:5	 13:3	 16:75	 14:12	 15:-3	 19:175	 17:1	 18:2	 20:6	 21:4	
33	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:215	 6:22	 7:14	 11:38	 9:4	 10:1	 12:2	 13:1	 16:66	 14:10	 15:2	 19:197	 17:6	 18:1	 20:6	 21:4	
20	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:75	 6:17	 7:8	 11:101	 9:4	 10:1	 12:5	 13:3	 16:173	 14:10	 15:-3	 19:56	 17:6	 18:1	 20:1	 21:2	
61	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:163	 6:6	 7:-1	 11:50	 9:7	 10:2	 12:2	 13:1	 16:75	 14:1	 15:-6	 19:24	 17:1	 18:3	 20:2	 21:1	
28	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:75	 6:6	 7:0	 11:44	 9:7	 10:1	 12:2	 13:1	 16:75	 14:5	 15:-4	 19:39	 17:1	 18:2	 20:2	 21:1	
39	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:10	 7:2	 11:52	 9:8	 10:1	 12:1	 13:2	 16:75	 14:8	 15:-4	 19:39	 17:1	 18:2	 20:2	 21:1	
42	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:75	 6:9	 7:2	 11:64	 9:2	 10:1	 12:1	 13:2	 16:40	 14:7	 15:-2	 19:48	 17:6	 18:1	 20:2	 21:1	
23	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:163	 6:6	 7:1	 11:51	 9:2	 10:1	 12:1	 13:2	 16:85	 14:4	 15:-5	 19:27	 17:6	 18:1	 20:2	 21:1	
35	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:163	 6:10	 7:3	 11:57	 9:1	 10:2	 12:1	 13:2	 16:75	 14:4	 15:-6	 19:27	 17:1	 18:2	 20:2	 21:1	
39	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:18	 7:8	 11:87	 9:5	 10:1	 12:1	 13:2	 16:110	 14:7	 15:-2	 19:34	 17:6	 18:1	 20:2	 21:1	
26	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:11	 7:5	 11:76	 9:4	 10:1	 12:1	 13:2	 16:75	 14:9	 15:-3	 19:58	 17:6	 18:1	 20:1	 21:2	
26	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:215	 6:10	 7:6	 11:81	 9:3	 10:1	 12:1	 13:2	 16:40	 14:6	 15:-3	 19:99	 17:6	 18:1	 20:1	 21:2	
47	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:15	 7:6	 11:92	 9:5	 10:1	 12:1	 13:2	 16:25	 14:9	 15:-2	 19:39	 17:1	 18:3	 20:2	 21:1	
40	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:208	 6:12	 7:5	 11:96	 9:2	 10:1	 12:1	 13:2	 16:129	 14:8	 15:-3	 19:34	 17:1	 18:2	 20:2	 21:1	
25	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:85	 6:21	 7:5	 11:91	 9:7	 10:2	 12:1	 13:2	 16:129	 14:8	 15:-4	 19:55	 17:1	 18:3	 20:1	 21:2	
44	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:11	 7:4	 11:61	 9:4	 10:1	 12:1	 13:2	 16:129	 14:6	 15:-4	 19:45	 17:6	 18:1	 20:2	 21:1	
24	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:209	 6:23	 7:10	 11:100	 9:8	 10:1	 12:1	 13:2	 16:75	 14:12	 15:-1	 19:201	 17:1	 18:3	 20:4	 21:5	
25	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:85	 6:15	 7:7	 11:98	 9:5	 10:1	 12:1	 13:2	 16:129	 14:8	 15:-3	 19:54	 17:6	 18:1	 20:1	 21:2	
101	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:85	 6:13	 7:5	 11:56	 9:1	 10:1	 12:1	 13:2	 16:75	 14:15	 15:4	 19:35	 17:6	 18:1	 20:2	 21:1	
52	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:85	 6:21	 7:12	 11:99	 9:4	 10:1	 12:1	 13:2	 16:80	 14:17	 15:3	 19:315	 17:6	 18:1	 20:3	 21:6	
23	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:9	 7:4	 11:74	 9:7	 10:1	 12:1	 13:2	 16:40	 14:8	 15:-2	 19:47	 17:6	 18:1	 20:2	 21:1	
18	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:208	 6:22	 7:14	 11:54	 9:4	 10:1	 12:1	 13:2	 16:107	 14:14	 15:5	 19:383	 17:6	 18:1	 20:3	 21:6	
13	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:129	 6:17	 7:9	 11:131	 9:8	 10:1	 12:5	 13:3	 16:40	 14:20	 15:5	 19:39	 17:6	 18:1	 20:2	 21:1	
37	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:85	 6:16	 7:9	 11:123	 9:2	 10:1	 12:5	 13:3	 16:85	 14:10	 15:-3	 19:115	 17:6	 18:1	 20:5	 21:3	
33	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:110	 6:15	 7:10	 11:75	 9:3	 10:1	 12:1	 13:2	 16:40	 14:20	 15:7	 19:156	 17:6	 18:1	 20:6	 21:4	
45	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:85	 6:17	 7:9	 11:72	 9:2	 10:1	 12:1	 13:2	 16:173	 14:16	 15:5	 19:86	 17:6	 18:1	 20:1	 21:2	
33	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:12	 7:5	 11:51	 9:3	 10:1	 12:1	 13:2	 16:75	 14:10	 15:-2	 19:145	 17:6	 18:1	 20:5	 21:3	
26	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:208	 6:8	 7:2	 11:41	 9:1	 10:2	 12:2	 13:1	 16:75	 14:7	 15:-4	 19:44	 17:1	 18:2	 20:2	 21:1	
37	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:19	 6:15	 7:10	 11:57	 9:3	 10:1	 12:1	 13:2	 16:68	 14:13	 15:5	 19:156	 17:6	 18:1	 20:6	 21:4	
47	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:208	 6:16	 7:9	 11:53	 9:2	 10:1	 12:1	 13:2	 16:85	 14:16	 15:3	 19:88	 17:6	 18:1	 20:1	 21:2	
38	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:71	 6:11	 7:5	 11:33	 9:2	 10:3	 12:2	 13:1	 16:25	 14:6	 15:-2	 19:29	 17:6	 18:1	 20:2	 21:1	
38	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:163	 6:12	 7:6	 11:55	 9:2	 10:2	 12:1	 13:2	 16:75	 14:15	 15:3	 19:42	 17:1	 18:2	 20:2	 21:1	
30	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:19	 6:18	 7:13	 11:56	 9:4	 10:1	 12:1	 13:2	 16:80	 14:18	 15:6	 19:337	 17:6	 18:1	 20:3	 21:6	
44	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:85	 6:15	 7:7	 11:71	 9:8	 10:1	 12:1	 13:2	 16:75	 14:18	 15:5	 19:35	 17:1	 18:2	 20:2	 21:1	
43	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:163	 6:11	 7:6	 11:50	 9:1	 10:1	 12:2	 13:1	 16:75	 14:15	 15:3	 19:30	 17:6	 18:1	 20:2	 21:1	
49	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:215	 6:12	 7:7	 11:108	 9:4	 10:2	 12:5	 13:3	 16:129	 14:9	 15:1	 19:136	 17:6	 18:1	 20:5	 21:3	
30	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:12	 7:5	 11:88	 9:1	 10:1	 12:1	 13:2	 16:40	 14:15	 15:3	 19:99	 17:6	 18:1	 20:1	 21:2	
32	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:181	 6:11	 7:6	 11:82	 9:2	 10:1	 12:1	 13:2	 16:75	 14:12	 15:-2	 19:63	 17:1	 18:2	 20:1	 21:2	
15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:110	 6:22	 7:13	 11:90	 9:5	 10:1	 12:1	 13:2	 16:75	 14:22	 15:7	 19:58	 17:6	 18:1	 20:1	 21:2	
36	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:19	 6:19	 7:13	 11:100	 9:9	 10:1	 12:1	 13:2	 16:75	 14:22	 15:7	 19:56	 17:6	 18:1	 20:1	 21:2	
19	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:110	 6:12	 7:7	 11:66	 9:4	 10:1	 12:1	 13:2	 16:149	 14:15	 15:2	 19:171	 17:6	 18:1	 20:6	 21:4	
27	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:75	 6:19	 7:11	 11:124	 9:9	 10:1	 12:5	 13:3	 16:129	 14:22	 15:8	 19:139	 17:1	 18:2	 20:5	 21:3	
21	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:208	 6:16	 7:11	 11:68	 9:3	 10:1	 12:1	 13:2	 16:25	 14:24	 15:13	 19:199	 17:5	 18:2	 20:6	 21:4	
