12	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:17	 7:9	 8:85	 9:2	 10:1	 11:72	 12:1	 13:2	 14:16	 15:5	 16:173	 17:6	 18:1	 19:86	 20:1	 21:2
18	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:21	 7:5	 8:85	 9:7	 10:2	 11:91	 12:1	 13:2	 14:8	 15:-4	 16:129	 17:1	 18:3	 19:55	 20:1	 21:2
13	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:15	 7:10	 8:19	 9:3	 10:1	 11:57	 12:1	 13:2	 14:13	 15:5	 16:68	 17:6	 18:1	 19:156	 20:6	 21:4
16	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:12	 7:6	 8:163	 9:2	 10:2	 11:55	 12:1	 13:2	 14:15	 15:3	 16:75	 17:1	 18:2	 19:42	 20:2	 21:1
18	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:11	 7:5	 8:71	 9:2	 10:3	 11:33	 12:2	 13:1	 14:6	 15:-2	 16:25	 17:6	 18:1	 19:29	 20:2	 21:1
11	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:16	 7:9	 8:208	 9:2	 10:1	 11:53	 12:1	 13:2	 14:16	 15:3	 16:85	 17:6	 18:1	 19:88	 20:1	 21:2
10	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:15	 7:10	 8:110	 9:3	 10:1	 11:75	 12:1	 13:2	 14:20	 15:7	 16:40	 17:6	 18:1	 19:156	 20:6	 21:4
25	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:8	 7:2	 8:208	 9:1	 10:2	 11:41	 12:2	 13:1	 14:7	 15:-4	 16:75	 17:1	 18:2	 19:44	 20:2	 21:1
16	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:18	 7:13	 8:19	 9:4	 10:1	 11:56	 12:1	 13:2	 14:18	 15:6	 16:80	 17:6	 18:1	 19:337	 20:3	 21:6
102	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:11	 7:6	 8:163	 9:1	 10:1	 11:50	 12:2	 13:1	 14:15	 15:3	 16:75	 17:6	 18:1	 19:30	 20:2	 21:1
21	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:15	 7:7	 8:85	 9:8	 10:1	 11:71	 12:1	 13:2	 14:18	 15:5	 16:75	 17:1	 18:2	 19:35	 20:2	 21:1
9	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:11	 7:6	 8:181	 9:2	 10:1	 11:82	 12:1	 13:2	 14:12	 15:-2	 16:75	 17:1	 18:2	 19:63	 20:1	 21:2
11	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:12	 7:5	 8:40	 9:1	 10:1	 11:88	 12:1	 13:2	 14:15	 15:3	 16:40	 17:6	 18:1	 19:99	 20:1	 21:2
7	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:12	 7:7	 8:110	 9:4	 10:1	 11:66	 12:1	 13:2	 14:15	 15:2	 16:149	 17:6	 18:1	 19:171	 20:6	 21:4
8	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:19	 7:11	 8:75	 9:9	 10:1	 11:124	 12:5	 13:3	 14:22	 15:8	 16:129	 17:1	 18:2	 19:139	 20:5	 21:3
19	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:19	 7:13	 8:19	 9:9	 10:1	 11:100	 12:1	 13:2	 14:22	 15:7	 16:75	 17:6	 18:1	 19:56	 20:1	 21:2
21	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:22	 7:13	 8:110	 9:5	 10:1	 11:90	 12:1	 13:2	 14:22	 15:7	 16:75	 17:6	 18:1	 19:58	 20:1	 21:2
21	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:16	 7:11	 8:208	 9:3	 10:1	 11:68	 12:1	 13:2	 14:24	 15:13	 16:25	 17:5	 18:2	 19:199	 20:6	 21:4
